,bphP_light_mean_rpm,wt_light_mean_rpm,log2_FC,-log10_pval,protein_ID,common_name,product
gene-PA14_00010,335.68774843710685,317.3945035936562,0.08084273896192977,0.605830492837553,cds-ABJ14957.1,dnaA,chromosomal replication initiator protein DnaA
gene-PA14_00020,557.3336129850122,577.105223863374,-0.05029322452684741,0.39659856914435637,cds-ABJ14958.1,dnaN,DNA polymerase III%2C beta chain
gene-PA14_00030,317.32105063350315,367.7450202403008,-0.2127625740776845,0.6223668715615006,cds-ABJ14959.1,recF,DNA replication and repair protein RecF
gene-PA14_00050,1340.682561856618,1370.152412851329,-0.03136869874748127,0.12453871094163654,cds-ABJ14960.1,gyrB,DNA gyrase subunit B
gene-PA14_00060,59.62347931198001,59.398068260904374,0.005464553178744834,0.02020730577186375,cds-ABJ14961.1,PA14_00060,putative acyltransferase
gene-PA14_00070,30.204222527641292,29.120951119504287,0.05269277311478654,0.10364713190567992,cds-ABJ14962.1,PA14_00070,putative histidinol-phosphatase
gene-PA14_00080,96.5291117738745,66.0188463839505,0.5480861667966946,1.7592714348703935,cds-ABJ14963.1,PA14_00080,conserved hypothetical protein
gene-PA14_00090,391.77397603992017,356.5111961716893,0.1360741830091703,0.4449335527424079,cds-ABJ14964.1,glyS,glycyl-tRNA synthetase beta chain
gene-PA14_00100,196.38430933552286,177.28802216869826,0.14758459626183723,0.41838409988761344,cds-ABJ14965.1,glyQ,glycyl-tRNA synthetase alpha chain
gene-PA14_00110,42.18492980465869,40.146198080571644,0.07146433053575774,0.5085016147784993,cds-ABJ14966.1,tag,DNA-3-methyladenine glycosidase I
gene-PA14_00120,191.78337478862963,212.97620472866035,-0.1512145878457188,0.17032885067073092,cds-ABJ14967.1,PA14_00120,putative 2-OH-lauroyltransferase
gene-PA14_00130,28.5995514009351,24.79740508363483,0.2058033506911743,0.36897700956100526,cds-ABJ14968.1,PA14_00130,hypothetical protein
gene-PA14_00140,12.693819519151022,14.112918784795681,-0.15289014319238312,0.9220767002565138,cds-ABJ14969.1,PA14_00140,putative membrane protein
gene-PA14_00150,3.0672790495827655,3.299839678941165,-0.10543647184651259,0.13003350231500257,cds-ABJ14970.1,PA14_00150,hypothetical protein
gene-PA14_00160,49.15658431951689,50.64004845098744,-0.042894111613661134,0.04226317402203678,cds-ABJ14971.1,PA14_00160,putative tetratricopeptide repeat domain
gene-PA14_00170,125.73135072768999,102.00129255937172,0.30175698900930276,0.5195408055869809,cds-ABJ14972.1,trkA,potassium uptake protein TrkA
gene-PA14_00180,92.75466606103562,83.89304261723164,0.14486868638370964,0.21457467323983562,cds-ABJ14973.1,sun,putative tRNA and rRNA cytosine-C5-methylases
gene-PA14_00190,82.67744137615854,80.41618765674757,0.04000779875395171,0.06072835204251312,cds-ABJ14974.1,fmt,methionyl-tRNA formyltransferase
gene-PA14_00200,88.03530262178474,84.85993939636103,0.05299851909794508,0.22517839903661555,cds-ABJ14975.1,def,polypeptide deformylase
gene-PA14_00210,245.5688621400653,229.47904821366535,0.09776520029752955,1.2227097588290852,cds-ABJ14976.1,PA14_00210,putative lysin domain
gene-PA14_00230,3.2275929285424,1.9732173476356263,0.7099084311641821,1.3547262610515787,cds-ABJ14977.1,smf,putative Rossmann fold nucleotide-binding protein
gene-PA14_00240,73.99455246657519,77.1083072007676,-0.05946723280443571,0.15240810341111483,cds-ABJ14978.1,PA14_00240,putative translation factor
gene-PA14_00250,113.506056507753,117.98045041010295,-0.055778541917025824,0.46088060061714164,cds-ABJ14979.1,qor,quinone oxidoreductase
gene-PA14_00280,154.392024934726,109.77150443629004,0.4920946342445675,1.4727014148540383,cds-ABJ14980.1,hemF,coproporphyrinogen III oxidase%2C aerobic
gene-PA14_00290,59.246165976027726,48.08828243348205,0.30103639027931794,0.6396721442685189,cds-ABJ14981.1,aroE,shikimate dehydrogenase
gene-PA14_00300,451.87752339325533,378.05365724835707,0.2573407866867798,0.5613495228079608,cds-ABJ14982.1,plcB,phospholipase C%2C PlcB
gene-PA14_00310,265.9998937861751,243.78016855074807,0.1258449012001669,0.4289666702961323,cds-ABJ14983.1,PA14_00310,putative peptidyl-prolyl isomerase
gene-PA14_00320,77.82008549293944,72.76415543487595,0.09691462861390497,0.35302284019422964,cds-ABJ14984.1,PA14_00320,conserved hypothetical protein
gene-PA14_00340,2.7720026000098703,4.828515930236354,-0.8006509716287115,0.9824266379301603,cds-ABJ14985.1,PA14_00340,putative sulfate permease
gene-PA14_00360,3.9216764453247692,6.283261460108306,-0.6800429438596216,1.5294688364563676,cds-ABJ14986.1,PA14_00360,putative glycine betaine/L-proline ABC transporter%2C periplasmic substrate-binding protein
gene-PA14_00380,8.460994537383966,11.697743322523818,-0.46733102568822926,1.0159808710980098,cds-ABJ14987.1,betC,choline sulfatase
gene-PA14_00400,27.546447195236514,26.989221714462712,0.029482883317632796,0.1095543955424593,cds-ABJ14988.1,PA14_00400,putative transcriptional regulator%2C LysR family
gene-PA14_00410,35.080727583376095,37.81123881350652,-0.10813644388735813,0.2147306710741224,cds-ABJ14989.1,PA14_00410,putative dioxygenase
gene-PA14_00420,2.505640244884371,3.2471137602369597,-0.37397848793106936,0.6781132410661794,cds-ABJ14990.1,PA14_00420,putative histidine phosphotransfer domain
gene-PA14_00430,5.110533416597188,6.286675521424958,-0.2988233598199509,0.505020715443758,cds-ABJ14991.1,bvga,putative two-component response regulator
gene-PA14_00440,46.965800234114035,48.96940462127978,-0.06027006317321626,0.21869086467504126,cds-ABJ14992.1,trpA,tryptophan synthase alpha chain
gene-PA14_00450,68.66401437249301,67.98024226810894,0.014438701863389044,0.03454036260386542,cds-ABJ14993.1,trpB,tryptophan synthase beta chain
gene-PA14_00460,14.896231720961124,14.431722065293437,0.045703957002813704,0.07412319142861841,cds-ABJ14994.1,trpI,trpBA operon transcriptional activator
gene-PA14_00470,67.87259545849844,424.2043220733431,-2.6438582113592997,3.3888545647925117,cds-ABJ14995.1,PA14_00470,conserved hypothetical protein
gene-PA14_00480,262.79525924379396,1079.4849921020596,-2.038332026001063,2.490670500783324,cds-ABJ14996.1,PA14_00480,conserved hypothetical protein
gene-PA14_00490,36.85070465474109,41.163462048426545,-0.1596721136980218,0.36791147484317116,cds-ABJ14997.1,PA14_00490,putative hemolysin activation/secretion protein
gene-PA14_00510,71.92494934204434,62.93758000878248,0.1925705894229231,0.6607831203396828,cds-ABJ14998.1,PA14_00510,putative hemagglutinin
gene-PA14_00520,3.4610663284283505,2.4121962874153424,0.5208690730055401,1.2868482707328306,cds-ABJ14999.1,PA14_00520,conserved hypothetical protein
gene-PA14_00530,20.129042734951202,23.57376620852229,-0.2279036893169299,0.237535743002406,cds-ABJ15000.1,PA14_00530,hypothetical protein
gene-PA14_00550,50.76383750324705,50.17821687863947,0.016739929377790178,0.040806583546115514,cds-ABJ15001.1,PA14_00550,putative membrane protein
gene-PA14_00560,23.645061779014743,29.978336580249575,-0.3423814080659564,1.556294472643923,cds-ABJ15002.1,exoT,exoenzyme T
gene-PA14_00570,105.14660774698984,57.21135230046236,0.878028942425379,1.348355941355472,cds-ABJ15003.1,PA14_00570,putative lipoprotein
gene-PA14_00580,61.688985153360534,35.14102721034692,0.8118565288324526,1.7271011992110648,cds-ABJ15004.1,PA14_00580,putative lipoprotein
gene-PA14_00590,37.7637851485596,19.799150794735272,0.9315647836118451,1.0322219522290135,cds-ABJ15005.1,PA14_00590,putative lipoprotein
gene-PA14_00600,10.891737822099756,10.341249201775293,0.07482368151426037,0.20700539889796796,cds-ABJ15006.1,PA14_00600,putative transcriptional regulator
gene-PA14_00620,165.44164300568468,125.27183118146127,0.4012603705857592,0.565405621868727,cds-ABJ15007.1,PA14_00620,conserved hypothetical protein
gene-PA14_00630,348.4415530055516,235.91379082109097,0.5626569221797967,0.437173155895924,cds-ABJ15008.1,PA14_00630,hypothetical protein
gene-PA14_00640,445.19861578690546,441.0693125750187,0.01344371869529897,0.021221155799181907,cds-ABJ15009.1,phzH,potential phenazine-modifying enzyme
gene-PA14_00650,32.64443704089054,30.552253132148923,0.0955583804947638,0.129813756806734,cds-ABJ15010.1,PA14_00650,conserved hypothetical protein
gene-PA14_00660,47.84894143712538,47.89295115310241,-0.0013263285322528194,0.004108686577585213,cds-ABJ15011.1,PA14_00660,putative RNA 2'-phosphotransferase
gene-PA14_00670,121.98972147843976,118.74317026920862,0.03891505839977594,0.08831228042141281,cds-ABJ15012.1,PA14_00670,conserved hypothetical protein
gene-PA14_00680,9.09014570522559,9.186491214741187,-0.01521050721154421,0.03831090027716542,cds-ABJ15013.1,PA14_00680,putative transcriptional regulator%2C LysR family
gene-PA14_00690,43.498238392249824,48.93667534877975,-0.16995911159819732,1.1857403935557502,cds-ABJ15014.1,PA14_00690,putative metallo-beta-lactamase
gene-PA14_00700,11.41616940068394,12.492418581037489,-0.12997415510862104,0.17376871844179012,cds-ABJ15015.1,PA14_00700,putative protein-disulfide isomerase
gene-PA14_00710,11.889386106220158,388.05541047721687,-5.0285164040603485,5.171809802243836,cds-ABJ15016.1,osmC,osmotically inducible protein OsmC
gene-PA14_00720,41.03305189477175,142.56523130630836,-1.796763786628847,3.087100465986805,cds-ABJ15017.1,PA14_00720,conserved hypothetical protein
gene-PA14_00730,16.17051384251613,18.52997053448101,-0.19649505083500918,0.4904162922832292,cds-ABJ15018.1,PA14_00730,conserved hypothetical protein
gene-PA14_00740,7.2088118963051615,28.998302018772602,-2.0081348437110815,5.051820294144961,cds-ABJ15019.1,PA14_00740,putative lipoprotein
gene-PA14_00750,51.98837918677245,43.46160371581673,0.2584477611719633,0.3474258576838602,cds-ABJ15020.1,PA14_00750,putative aminopeptidase
